date,event_timestamp_utc,indicator_type,event,country,actual,forecast,previous,revision,unit,importance,calendar_id,ticker,source,source_url,provider,provider_endpoint,point_in_time
2023-04-12,2023-04-12T11:30:00+00:00,core_cpi,Core CPI m/m,United States,0.4,0.4,0.5,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-04-13,2023-04-13T19:30:00+00:00,retail_sales,Retail Sales m/m,United States,-1.0,-0.4,-0.2,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-04-27,2023-04-27T11:30:00+00:00,gdp,Advance GDP q/q,United States,1.1,2.0,2.6,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-05-01,2023-05-01T13:00:00+00:00,pmi,ISM Manufacturing PMI,United States,47.1,46.8,46.3,,index,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-05-04,2023-05-04T19:30:00+00:00,nfp,Non-Farm Employment Change,United States,253000.0,181000.0,165000.0,,persons,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-05-04,2023-05-04T19:30:00+00:00,unemployment,Unemployment Rate,United States,3.4,3.6,3.5,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-05-09,2023-05-09T19:30:00+00:00,core_cpi,Core CPI m/m,United States,0.4,0.3,0.4,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-05-09,2023-05-09T19:30:00+00:00,cpi,CPI m/m,United States,0.4,0.4,0.1,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-05-15,2023-05-15T19:30:00+00:00,retail_sales,Retail Sales m/m,United States,0.4,0.8,-0.7,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-06-01,2023-06-01T19:30:00+00:00,nfp,Non-Farm Employment Change,United States,339000.0,193000.0,294000.0,,persons,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
