cluster_all_aligned,cluster_coherence,cluster_signal,cluster_size,dominant_mad_actionable,dominant_mad_directional_hit_30m,dominant_z_mad,dominant_z_std,event_time_utc,indicators,max_abs_mad_z,mean_abs_mad_z,mean_signed_surprise,post_240m_hit,post_240m_mae_bps,post_240m_mfe_bps,post_240m_observed_bars,post_240m_usd_bps,post_30m_hit,post_30m_mae_bps,post_30m_mfe_bps,post_30m_observed_bars,post_30m_usd_bps,post_60m_hit,post_60m_mae_bps,post_60m_mfe_bps,post_60m_observed_bars,post_60m_usd_bps,pre_240m_abs_bps,pre_240m_aligned,pre_240m_usd_bps,pre_30m_abs_bps,pre_30m_aligned,pre_30m_usd_bps,pre_60m_abs_bps,pre_60m_aligned,pre_60m_usd_bps,pre_atr_bps,pre_realized_vol_bps,trade_240m_gross_bps,trade_30m_gross_bps,trade_60m_gross_bps,year
True,1,1,1,True,True,3.276098,1.074956,2022-02-16T13:30:00+00:00,retail_sales,3.276098,3.276098,1.7,False,-15.1337,10.7343,8,-13.022,True,-6.159,9.5905,1,2.2876,True,-6.159,10.7343,2,8.7986,10.635,True,10.635,0.088,True,0.088,0.3519,True,0.3519,10.052271498353893,4.648200187504512,-13.022,2.2876,8.7986,2022
True,1,1,1,False,False,0.337245,0.325331,2022-03-01T15:00:00+00:00,pmi,0.337245,0.337245,0.6,True,0.0,55.5969,8,26.274,True,0.0,21.1627,1,11.3884,True,0.0,21.1627,2,10.671,26.3836,True,26.3836,0.1793,False,-0.1793,0.1793,True,0.1793,15.640586235841422,7.17042753810186,26.274,11.3884,10.671,2022
True,1,1,2,True,True,3.264053,0.218721,2022-03-04T13:30:00+00:00,nfp+unemployment,3.264053,1.969272,135500.05,True,-9.4202,44.5404,8,9.969,True,-9.4202,44.5404,1,23.322,True,-9.4202,44.5404,2,20.4867,72.8158,True,72.8158,0.1829,False,-0.1829,3.657,True,3.657,17.626874549888566,8.206198474797016,9.969,23.322,20.4867,2022
False,0,0,2,False,False,0.0,0.0,2022-03-10T13:30:00+00:00,core_cpi+cpi,0.0,0.0,0.0,False,-21.9251,92.9334,8,75.4295,False,-21.9251,28.8725,1,17.3235,False,-21.9251,56.0307,2,53.5946,38.2212,,-38.2212,0.3609,,-0.3609,13.5157,,13.5157,26.261651712960518,18.885742915273294,,,,2022
True,1,-1,1,False,False,-0.192712,-0.063233,2022-03-16T12:30:00+00:00,retail_sales,0.192712,0.192712,-0.1,True,-33.9008,18.6318,8,-5.3623,False,-2.4539,18.6318,1,12.2697,False,-2.4539,18.6318,2,11.9062,10.9183,True,-10.9183,0.0,False,0.0,8.6268,False,8.6268,15.278835357261233,7.745830109193727,5.3623,-12.2697,-11.9062,2022
False,0,0,2,False,False,-0.734713,-0.049232,2022-04-01T12:30:00+00:00,nfp+unemployment,0.734713,0.704602,-30499.95,False,-6.9672,21.2635,8,6.6053,False,-6.9672,13.9344,1,6.9672,False,-6.9672,13.9344,2,7.2386,7.7755,,7.7755,0.0905,,0.0905,3.2584,,-3.2584,11.573943570248076,6.0984629447741545,,,,2022
True,1,-1,1,True,False,-1.011736,-0.975992,2022-04-01T14:00:00+00:00,pmi,1.011736,1.011736,-1.8,False,-4.9799,14.6679,8,4.2555,False,-4.9799,12.1327,1,11.2273,False,-4.9799,14.6679,2,6.5191,11.3954,False,11.3954,0.0,False,0.0,0.6338,True,-0.6338,11.071750564092909,6.692155441625255,-4.2555,-11.2273,-6.5191,2022
False,0.5,-1,2,True,True,-1.348982,-1.367774,2022-04-12T12:30:00+00:00,core_cpi+cpi,1.348982,0.674491,-0.1,True,-45.9755,2.027,8,-0.5528,True,-45.9755,0.0,1,-38.789,True,-45.9755,0.0,2,-21.9282,7.5494,False,7.5494,0.0921,False,0.0921,8.0094,False,8.0094,9.410647272526186,13.931119646831588,0.5528,38.789,21.9282,2022
True,1,-1,1,False,False,-0.192712,-0.063233,2022-04-14T12:30:00+00:00,retail_sales,0.192712,0.192712,-0.1,False,-5.7883,116.1338,8,54.943,False,-5.7883,37.0268,1,33.3517,False,-5.7883,61.4664,2,54.943,22.2766,False,22.2766,0.0,False,0.0,16.9342,True,-16.9342,14.265903582208349,17.160090665352968,-54.943,-33.3517,-54.943,2022
True,1,-1,1,True,False,-4.817791,-3.356253,2022-04-28T12:30:00+00:00,gdp,4.817791,4.817791,-2.5,True,-43.3928,3.8148,8,-12.4933,False,-36.1448,3.5286,1,0.2861,True,-36.1448,3.8148,2,-17.071,29.1928,False,29.1928,0.0954,True,-0.0954,4.5756,False,4.5756,21.33704266673223,10.064651256801792,12.4933,-0.2861,17.071,2022
